"Town","FIPS","Year","Entry","Rank","Variable","Measure Type","Value"
"Andover","0901301080",2009,"Connecticut Light and Power Inc.",1,"Grand List Value","Number",-6666
"Andover","0901301080",2009,"Whispering Hills LLC",2,"Grand List Value","Number",-6666
"Andover","0901301080",2009,"New Samaritan Housing Corp",3,"Grand List Value","Number",-6666
"Andover","0901301080",2009,"B & B Realty Co",4,"Grand List Value","Number",-6666
"Andover","0901301080",2009,"Martin Marshall",5,"Grand List Value","Number",-6666
"Andover","0901301080",2009,"Hillside Self Storage Center",6,"Grand List Value","Number",-6666
"Andover","0901301080",2009,"Post Ellen D Trustee",7,"Grand List Value","Number",-6666
"Andover","0901301080",2009,"Andover Plaza",8,"Grand List Value","Number",-6666
"Andover","0901301080",2009,"Algonquin Gas Transmission LLC",9,"Grand List Value","Number",-6666
"Andover","0901301080",2009,"Slattery Beth Ann",10,"Grand List Value","Number",-6666
"Andover","0901301080",2009,"Connecticut Light and Power Inc.",1,"Percent of Net Grand List","Percent",-6666
"Andover","0901301080",2009,"Whispering Hills LLC",2,"Percent of Net Grand List","Percent",-6666
"Andover","0901301080",2009,"New Samaritan Housing Corp",3,"Percent of Net Grand List","Percent",-6666
"Andover","0901301080",2009,"B & B Realty Co",4,"Percent of Net Grand List","Percent",-6666
"Andover","0901301080",2009,"Martin Marshall",5,"Percent of Net Grand List","Percent",-6666
"Andover","0901301080",2009,"Hillside Self Storage Center",6,"Percent of Net Grand List","Percent",-6666
"Andover","0901301080",2009,"Post Ellen D Trustee",7,"Percent of Net Grand List","Percent",-6666
"Andover","0901301080",2009,"Andover Plaza",8,"Percent of Net Grand List","Percent",-6666
"Andover","0901301080",2009,"Algonquin Gas Transmission LLC",9,"Percent of Net Grand List","Percent",-6666
"Andover","0901301080",2009,"Slattery Beth Ann",10,"Percent of Net Grand List","Percent",-6666
"Andover","0901301080",2009,"Connecticut Light and Power Inc.",1,"Percent of Top 10 Total Grand List","Percent",-6666
"Andover","0901301080",2009,"Whispering Hills LLC",2,"Percent of Top 10 Total Grand List","Percent",-6666
"Andover","0901301080",2009,"New Samaritan Housing Corp",3,"Percent of Top 10 Total Grand List","Percent",-6666
"Andover","0901301080",2009,"B & B Realty Co",4,"Percent of Top 10 Total Grand List","Percent",-6666
"Andover","0901301080",2009,"Martin Marshall",5,"Percent of Top 10 Total Grand List","Percent",-6666
"Andover","0901301080",2009,"Hillside Self Storage Center",6,"Percent of Top 10 Total Grand List","Percent",-6666
"Andover","0901301080",2009,"Post Ellen D Trustee",7,"Percent of Top 10 Total Grand List","Percent",-6666
"Andover","0901301080",2009,"Andover Plaza",8,"Percent of Top 10 Total Grand List","Percent",-6666
"Andover","0901301080",2009,"Algonquin Gas Transmission LLC",9,"Percent of Top 10 Total Grand List","Percent",-6666
"Andover","0901301080",2009,"Slattery Beth Ann",10,"Percent of Top 10 Total Grand List","Percent",-6666
"Andover","0901301080",2009,"Connecticut Light and Power Inc.",1,"Percent of Total Grand List","Percent",-6666
"Andover","0901301080",2009,"Whispering Hills LLC",2,"Percent of Total Grand List","Percent",-6666
"Andover","0901301080",2009,"New Samaritan Housing Corp",3,"Percent of Total Grand List","Percent",-6666
"Andover","0901301080",2009,"B & B Realty Co",4,"Percent of Total Grand List","Percent",-6666
"Andover","0901301080",2009,"Martin Marshall",5,"Percent of Total Grand List","Percent",-6666
"Andover","0901301080",2009,"Hillside Self Storage Center",6,"Percent of Total Grand List","Percent",-6666
"Andover","0901301080",2009,"Post Ellen D Trustee",7,"Percent of Total Grand List","Percent",-6666
"Andover","0901301080",2009,"Andover Plaza",8,"Percent of Total Grand List","Percent",-6666
"Andover","0901301080",2009,"Algonquin Gas Transmission LLC",9,"Percent of Total Grand List","Percent",-6666
"Andover","0901301080",2009,"Slattery Beth Ann",10,"Percent of Total Grand List","Percent",-6666
"Ansonia","0900901220",2015,"United Illuminating Co.",1,"Grand List Value","Number",12416090
