"Town","FIPS","Year","Year Submitted","Town Profile Year","Entry","Rank","Variable","Measure Type","Value"
"Andover","0901301080",2009,2010,2016,"Connecticut Light and Power Inc.",1,"Grand List Value","Number",3016520
"Andover","0901301080",2009,2010,2016,"Whispering Hills LLC",2,"Grand List Value","Number",887200
"Andover","0901301080",2009,2010,2016,"New Samaritan Housing Corp",3,"Grand List Value","Number",844400
"Andover","0901301080",2009,2010,2016,"B & B Realty Co",4,"Grand List Value","Number",828800
"Andover","0901301080",2009,2010,2016,"Martin Marshall",5,"Grand List Value","Number",789200
"Andover","0901301080",2009,2010,2016,"Hillside Self Storage Center",6,"Grand List Value","Number",695080
"Andover","0901301080",2009,2010,2016,"Post Ellen D Trustee",7,"Grand List Value","Number",520240
"Andover","0901301080",2009,2010,2016,"Andover Plaza",8,"Grand List Value","Number",499200
"Andover","0901301080",2009,2010,2016,"Algonquin Gas Transmission LLC",9,"Grand List Value","Number",484520
"Andover","0901301080",2009,2010,2016,"Slattery Beth Ann",10,"Grand List Value","Number",482600
"Andover","0901301080",2009,2010,2016,"Connecticut Light and Power Inc.",1,"Percent of Net Grand List","Percent",1.09
"Andover","0901301080",2009,2010,2016,"Whispering Hills LLC",2,"Percent of Net Grand List","Percent",0.32
"Andover","0901301080",2009,2010,2016,"New Samaritan Housing Corp",3,"Percent of Net Grand List","Percent",0.31
"Andover","0901301080",2009,2010,2016,"B & B Realty Co",4,"Percent of Net Grand List","Percent",0.3
"Andover","0901301080",2009,2010,2016,"Martin Marshall",5,"Percent of Net Grand List","Percent",0.29
"Andover","0901301080",2009,2010,2016,"Hillside Self Storage Center",6,"Percent of Net Grand List","Percent",0.25
"Andover","0901301080",2009,2010,2016,"Post Ellen D Trustee",7,"Percent of Net Grand List","Percent",0.19
"Andover","0901301080",2009,2010,2016,"Andover Plaza",8,"Percent of Net Grand List","Percent",0.18
"Andover","0901301080",2009,2010,2016,"Algonquin Gas Transmission LLC",9,"Percent of Net Grand List","Percent",0.18
"Andover","0901301080",2009,2010,2016,"Slattery Beth Ann",10,"Percent of Net Grand List","Percent",0.18
"Andover","0901301080",2009,2010,2016,"Connecticut Light and Power Inc.",1,"Percent of Top 10 Total Grand List","Percent",33.34
"Andover","0901301080",2009,2010,2016,"Whispering Hills LLC",2,"Percent of Top 10 Total Grand List","Percent",9.81
"Andover","0901301080",2009,2010,2016,"New Samaritan Housing Corp",3,"Percent of Top 10 Total Grand List","Percent",9.33
"Andover","0901301080",2009,2010,2016,"B & B Realty Co",4,"Percent of Top 10 Total Grand List","Percent",9.16
"Andover","0901301080",2009,2010,2016,"Martin Marshall",5,"Percent of Top 10 Total Grand List","Percent",8.72
"Andover","0901301080",2009,2010,2016,"Hillside Self Storage Center",6,"Percent of Top 10 Total Grand List","Percent",7.68
"Andover","0901301080",2009,2010,2016,"Post Ellen D Trustee",7,"Percent of Top 10 Total Grand List","Percent",5.75
"Andover","0901301080",2009,2010,2016,"Andover Plaza",8,"Percent of Top 10 Total Grand List","Percent",5.52
"Andover","0901301080",2009,2010,2016,"Algonquin Gas Transmission LLC",9,"Percent of Top 10 Total Grand List","Percent",5.36
"Andover","0901301080",2009,2010,2016,"Slattery Beth Ann",10,"Percent of Top 10 Total Grand List","Percent",5.33
"Andover","0901301080",2009,2010,2016,"Connecticut Light and Power Inc.",1,"Percent of Total Grand List","Percent",1.09
"Andover","0901301080",2009,2010,2016,"Whispering Hills LLC",2,"Percent of Total Grand List","Percent",0.32
"Andover","0901301080",2009,2010,2016,"New Samaritan Housing Corp",3,"Percent of Total Grand List","Percent",0.3
"Andover","0901301080",2009,2010,2016,"B & B Realty Co",4,"Percent of Total Grand List","Percent",0.3
"Andover","0901301080",2009,2010,2016,"Martin Marshall",5,"Percent of Total Grand List","Percent",0.28
"Andover","0901301080",2009,2010,2016,"Hillside Self Storage Center",6,"Percent of Total Grand List","Percent",0.25
"Andover","0901301080",2009,2010,2016,"Post Ellen D Trustee",7,"Percent of Total Grand List","Percent",0.19
"Andover","0901301080",2009,2010,2016,"Andover Plaza",8,"Percent of Total Grand List","Percent",0.18
"Andover","0901301080",2009,2010,2016,"Algonquin Gas Transmission LLC",9,"Percent of Total Grand List","Percent",0.17
"Andover","0901301080",2009,2010,2016,"Slattery Beth Ann",10,"Percent of Total Grand List","Percent",0.17
"Ansonia","0900901220",2014,2015,2016,"United Illuminating Co.",1,"Grand List Value","Number",13051800
"Ansonia","0900901220",2014,2015,2016,"Target Corporation",2,"Grand List Value","Number",10318980
"Ansonia","0900901220",2014,2015,2016,"Ansonia Shopping Center LLC",3,"Grand List Value","Number",8601000
"Ansonia","0900901220",2014,2015,2016,"Yankee Gas Services Co",4,"Grand List Value","Number",8105280
"Ansonia","0900901220",2014,2015,2016,"Ansonia E & A LLC",5,"Grand List Value","Number",6511000
"Ansonia","0900901220",2014,2015,2016,"445 Beaver Brook  LLC",6,"Grand List Value","Number",4700300
"Ansonia","0900901220",2014,2015,2016,"Regional Water Authority",7,"Grand List Value","Number",4361140
"Ansonia","0900901220",2014,2015,2016,"Ansonia Copper & Brass",8,"Grand List Value","Number",4145020
"Ansonia","0900901220",2014,2015,2016,"Ansonia Riverview Apartments",9,"Grand List Value","Number",3755110
"Ansonia","0900901220",2014,2015,2016,"Meditrust of Connecticut",10,"Grand List Value","Number",3189500
"Ansonia","0900901220",2014,2015,2016,"United Illuminating Co.",1,"Percent of Net Grand List","Percent",1.46
"Ansonia","0900901220",2014,2015,2016,"Target Corporation",2,"Percent of Net Grand List","Percent",1.15
"Ansonia","0900901220",2014,2015,2016,"Ansonia Shopping Center LLC",3,"Percent of Net Grand List","Percent",0.96
"Ansonia","0900901220",2014,2015,2016,"Yankee Gas Services Co",4,"Percent of Net Grand List","Percent",0.91
"Ansonia","0900901220",2014,2015,2016,"Ansonia E & A LLC",5,"Percent of Net Grand List","Percent",0.73
"Ansonia","0900901220",2014,2015,2016,"445 Beaver Brook  LLC",6,"Percent of Net Grand List","Percent",0.53
"Ansonia","0900901220",2014,2015,2016,"Regional Water Authority",7,"Percent of Net Grand List","Percent",0.49
"Ansonia","0900901220",2014,2015,2016,"Ansonia Copper & Brass",8,"Percent of Net Grand List","Percent",0.46
"Ansonia","0900901220",2014,2015,2016,"Ansonia Riverview Apartments",9,"Percent of Net Grand List","Percent",0.42
"Ansonia","0900901220",2014,2015,2016,"Meditrust of Connecticut",10,"Percent of Net Grand List","Percent",0.36
"Ansonia","0900901220",2014,2015,2016,"United Illuminating Co.",1,"Percent of Top 10 Total Grand List","Percent",19.56
"Ansonia","0900901220",2014,2015,2016,"Target Corporation",2,"Percent of Top 10 Total Grand List","Percent",15.46
"Ansonia","0900901220",2014,2015,2016,"Ansonia Shopping Center LLC",3,"Percent of Top 10 Total Grand List","Percent",12.89
"Ansonia","0900901220",2014,2015,2016,"Yankee Gas Services Co",4,"Percent of Top 10 Total Grand List","Percent",12.14
"Ansonia","0900901220",2014,2015,2016,"Ansonia E & A LLC",5,"Percent of Top 10 Total Grand List","Percent",9.76
"Ansonia","0900901220",2014,2015,2016,"445 Beaver Brook  LLC",6,"Percent of Top 10 Total Grand List","Percent",7.04
"Ansonia","0900901220",2014,2015,2016,"Regional Water Authority",7,"Percent of Top 10 Total Grand List","Percent",6.53
"Ansonia","0900901220",2014,2015,2016,"Ansonia Copper & Brass",8,"Percent of Top 10 Total Grand List","Percent",6.21
"Ansonia","0900901220",2014,2015,2016,"Ansonia Riverview Apartments",9,"Percent of Top 10 Total Grand List","Percent",5.63
"Ansonia","0900901220",2014,2015,2016,"Meditrust of Connecticut",10,"Percent of Top 10 Total Grand List","Percent",4.78
"Ansonia","0900901220",2014,2015,2016,"United Illuminating Co.",1,"Percent of Total Grand List","Percent",1.27
"Ansonia","0900901220",2014,2015,2016,"Target Corporation",2,"Percent of Total Grand List","Percent",1
"Ansonia","0900901220",2014,2015,2016,"Ansonia Shopping Center LLC",3,"Percent of Total Grand List","Percent",0.84
"Ansonia","0900901220",2014,2015,2016,"Yankee Gas Services Co",4,"Percent of Total Grand List","Percent",0.79
"Ansonia","0900901220",2014,2015,2016,"Ansonia E & A LLC",5,"Percent of Total Grand List","Percent",0.63
"Ansonia","0900901220",2014,2015,2016,"445 Beaver Brook  LLC",6,"Percent of Total Grand List","Percent",0.46
"Ansonia","0900901220",2014,2015,2016,"Regional Water Authority",7,"Percent of Total Grand List","Percent",0.42
"Ansonia","0900901220",2014,2015,2016,"Ansonia Copper & Brass",8,"Percent of Total Grand List","Percent",0.4
"Ansonia","0900901220",2014,2015,2016,"Ansonia Riverview Apartments",9,"Percent of Total Grand List","Percent",0.37
"Ansonia","0900901220",2014,2015,2016,"Meditrust of Connecticut",10,"Percent of Total Grand List","Percent",0.31
"Ashford","0901501430",2014,2015,2016,"Connecticut Light and Power Inc.",1,"Grand List Value","Number",4158300
"Ashford","0901501430",2014,2015,2016,"Perryridge Investers",2,"Grand List Value","Number",2152340
"Ashford","0901501430",2014,2015,2016,"Birch Hill Investors LLC",3,"Grand List Value","Number",2033560
"Ashford","0901501430",2014,2015,2016,"Giulietti, James D",4,"Grand List Value","Number",1960000
"Ashford","0901501430",2014,2015,2016,"Specyalski, Brian D",5,"Grand List Value","Number",1393080
"Ashford","0901501430",2014,2015,2016,"Woodlawn Apartments LLC",6,"Grand List Value","Number",1378900
"Ashford","0901501430",2014,2015,2016,"Grove Corporation",7,"Grand List Value","Number",1136900
"Ashford","0901501430",2014,2015,2016,"Knowlton, Thomas E",8,"Grand List Value","Number",1086570
"Ashford","0901501430",2014,2015,2016,"AB Realty LLC",9,"Grand List Value","Number",1039400
"Ashford","0901501430",2014,2015,2016,"Mercier Normand & Denise",10,"Grand List Value","Number",978040
"Ashford","0901501430",2014,2015,2016,"Connecticut Light and Power Inc.",1,"Percent of Net Grand List","Percent",1.4
"Ashford","0901501430",2014,2015,2016,"Perryridge Investers",2,"Percent of Net Grand List","Percent",0.72
"Ashford","0901501430",2014,2015,2016,"Birch Hill Investors LLC",3,"Percent of Net Grand List","Percent",0.68
"Ashford","0901501430",2014,2015,2016,"Giulietti, James D",4,"Percent of Net Grand List","Percent",0.66
"Ashford","0901501430",2014,2015,2016,"Specyalski, Brian D",5,"Percent of Net Grand List","Percent",0.47
"Ashford","0901501430",2014,2015,2016,"Woodlawn Apartments LLC",6,"Percent of Net Grand List","Percent",0.46
"Ashford","0901501430",2014,2015,2016,"Grove Corporation",7,"Percent of Net Grand List","Percent",0.38
"Ashford","0901501430",2014,2015,2016,"Knowlton, Thomas E",8,"Percent of Net Grand List","Percent",0.36
"Ashford","0901501430",2014,2015,2016,"AB Realty LLC",9,"Percent of Net Grand List","Percent",0.35
"Ashford","0901501430",2014,2015,2016,"Mercier Normand & Denise",10,"Percent of Net Grand List","Percent",0.33
"Ashford","0901501430",2014,2015,2016,"Connecticut Light and Power Inc.",1,"Percent of Top 10 Total Grand List","Percent",24.01
"Ashford","0901501430",2014,2015,2016,"Perryridge Investers",2,"Percent of Top 10 Total Grand List","Percent",12.43
"Ashford","0901501430",2014,2015,2016,"Birch Hill Investors LLC",3,"Percent of Top 10 Total Grand List","Percent",11.74
"Ashford","0901501430",2014,2015,2016,"Giulietti, James D",4,"Percent of Top 10 Total Grand List","Percent",11.32
"Ashford","0901501430",2014,2015,2016,"Specyalski, Brian D",5,"Percent of Top 10 Total Grand List","Percent",8.04
"Ashford","0901501430",2014,2015,2016,"Woodlawn Apartments LLC",6,"Percent of Top 10 Total Grand List","Percent",7.96
"Ashford","0901501430",2014,2015,2016,"Grove Corporation",7,"Percent of Top 10 Total Grand List","Percent",6.57
"Ashford","0901501430",2014,2015,2016,"Knowlton, Thomas E",8,"Percent of Top 10 Total Grand List","Percent",6.27
"Ashford","0901501430",2014,2015,2016,"AB Realty LLC",9,"Percent of Top 10 Total Grand List","Percent",6
"Ashford","0901501430",2014,2015,2016,"Mercier Normand & Denise",10,"Percent of Top 10 Total Grand List","Percent",5.65
"Ashford","0901501430",2014,2015,2016,"Connecticut Light and Power Inc.",1,"Percent of Total Grand List","Percent",1.38
"Ashford","0901501430",2014,2015,2016,"Perryridge Investers",2,"Percent of Total Grand List","Percent",0.71
"Ashford","0901501430",2014,2015,2016,"Birch Hill Investors LLC",3,"Percent of Total Grand List","Percent",0.68
"Ashford","0901501430",2014,2015,2016,"Giulietti, James D",4,"Percent of Total Grand List","Percent",0.65
"Ashford","0901501430",2014,2015,2016,"Specyalski, Brian D",5,"Percent of Total Grand List","Percent",0.46
"Ashford","0901501430",2014,2015,2016,"Woodlawn Apartments LLC",6,"Percent of Total Grand List","Percent",0.46
"Ashford","0901501430",2014,2015,2016,"Grove Corporation",7,"Percent of Total Grand List","Percent",0.38
"Ashford","0901501430",2014,2015,2016,"Knowlton, Thomas E",8,"Percent of Total Grand List","Percent",0.36
"Ashford","0901501430",2014,2015,2016,"AB Realty LLC",9,"Percent of Total Grand List","Percent",0.35
"Ashford","0901501430",2014,2015,2016,"Mercier Normand & Denise",10,"Percent of Total Grand List","Percent",0.32
"Avon","0900302060",2014,2014,2016,"Connecticut Light and Power Inc.",1,"Grand List Value","Number",15669800
"Avon","0900302060",2014,2014,2016,"GAIA Avon Place LLC",2,"Grand List Value","Number",15287990
"Avon","0900302060",2014,2014,2016,"Avon Marketplace Investors",3,"Grand List Value","Number",14325490
"Avon","0900302060",2014,2014,2016,"Two Fifty Five West Main Street",4,"Grand List Value","Number",14052020
"Avon","0900302060",2014,2014,2016,"Sixty Four Avonwood Road Associates",5,"Grand List Value","Number",13674330
"Avon","0900302060",2014,2014,2016,"Nod Brook LLC",6,"Grand List Value","Number",12482220
"Avon","0900302060",2014,2014,2016,"Ensign-Bickford Realty Corp",7,"Grand List Value","Number",10754440
"Avon","0900302060",2014,2014,2016,"Toll CT",8,"Grand List Value","Number",10536210
"Avon","0900302060",2014,2014,2016,"Avon Water Co",9,"Grand List Value","Number",9836930
"Avon","0900302060",2014,2014,2016,"Brighenti Family Wellness Center",10,"Grand List Value","Number",9175050
"Avon","0900302060",2014,2014,2016,"Connecticut Light and Power Inc.",1,"Percent of Net Grand List","Percent",0.61
"Avon","0900302060",2014,2014,2016,"GAIA Avon Place LLC",2,"Percent of Net Grand List","Percent",0.59
"Avon","0900302060",2014,2014,2016,"Avon Marketplace Investors",3,"Percent of Net Grand List","Percent",0.56
"Avon","0900302060",2014,2014,2016,"Two Fifty Five West Main Street",4,"Percent of Net Grand List","Percent",0.54
"Avon","0900302060",2014,2014,2016,"Sixty Four Avonwood Road Associates",5,"Percent of Net Grand List","Percent",0.53
"Avon","0900302060",2014,2014,2016,"Nod Brook LLC",6,"Percent of Net Grand List","Percent",0.48
"Avon","0900302060",2014,2014,2016,"Ensign-Bickford Realty Corp",7,"Percent of Net Grand List","Percent",0.42
"Avon","0900302060",2014,2014,2016,"Toll CT",8,"Percent of Net Grand List","Percent",0.41
"Avon","0900302060",2014,2014,2016,"Avon Water Co",9,"Percent of Net Grand List","Percent",0.38
"Avon","0900302060",2014,2014,2016,"Brighenti Family Wellness Center",10,"Percent of Net Grand List","Percent",0.36
"Avon","0900302060",2014,2014,2016,"Connecticut Light and Power Inc.",1,"Percent of Top 10 Total Grand List","Percent",12.46
"Avon","0900302060",2014,2014,2016,"GAIA Avon Place LLC",2,"Percent of Top 10 Total Grand List","Percent",12.15
"Avon","0900302060",2014,2014,2016,"Avon Marketplace Investors",3,"Percent of Top 10 Total Grand List","Percent",11.39
"Avon","0900302060",2014,2014,2016,"Two Fifty Five West Main Street",4,"Percent of Top 10 Total Grand List","Percent",11.17
"Avon","0900302060",2014,2014,2016,"Sixty Four Avonwood Road Associates",5,"Percent of Top 10 Total Grand List","Percent",10.87
"Avon","0900302060",2014,2014,2016,"Nod Brook LLC",6,"Percent of Top 10 Total Grand List","Percent",9.92
"Avon","0900302060",2014,2014,2016,"Ensign-Bickford Realty Corp",7,"Percent of Top 10 Total Grand List","Percent",8.55
"Avon","0900302060",2014,2014,2016,"Toll CT",8,"Percent of Top 10 Total Grand List","Percent",8.38
"Avon","0900302060",2014,2014,2016,"Avon Water Co",9,"Percent of Top 10 Total Grand List","Percent",7.82
"Avon","0900302060",2014,2014,2016,"Brighenti Family Wellness Center",10,"Percent of Top 10 Total Grand List","Percent",7.29
"Avon","0900302060",2014,2014,2016,"Connecticut Light and Power Inc.",1,"Percent of Total Grand List","Percent",0.6
"Avon","0900302060",2014,2014,2016,"GAIA Avon Place LLC",2,"Percent of Total Grand List","Percent",0.59
"Avon","0900302060",2014,2014,2016,"Avon Marketplace Investors",3,"Percent of Total Grand List","Percent",0.55
"Avon","0900302060",2014,2014,2016,"Two Fifty Five West Main Street",4,"Percent of Total Grand List","Percent",0.54
"Avon","0900302060",2014,2014,2016,"Sixty Four Avonwood Road Associates",5,"Percent of Total Grand List","Percent",0.52
"Avon","0900302060",2014,2014,2016,"Nod Brook LLC",6,"Percent of Total Grand List","Percent",0.48
"Avon","0900302060",2014,2014,2016,"Ensign-Bickford Realty Corp",7,"Percent of Total Grand List","Percent",0.41
"Avon","0900302060",2014,2014,2016,"Toll CT",8,"Percent of Total Grand List","Percent",0.4
"Avon","0900302060",2014,2014,2016,"Avon Water Co",9,"Percent of Total Grand List","Percent",0.38
"Avon","0900302060",2014,2014,2016,"Brighenti Family Wellness Center",10,"Percent of Total Grand List","Percent",0.35
"Barkhamsted","0900502760",2014,2014,2016,"The Metropolitan District",1,"Grand List Value","Number",32678560
"Barkhamsted","0900502760",2014,2014,2016,"Connecticut Light & Power",2,"Grand List Value","Number",5176930
"Barkhamsted","0900502760",2014,2014,2016,"Mallory Brook Development",3,"Grand List Value","Number",3687840
"Barkhamsted","0900502760",2014,2014,2016,"Sterling Engineering Corporation",4,"Grand List Value","Number",1550640
"Barkhamsted","0900502760",2014,2014,2016,"Retional Refuse Disp Distr #1",5,"Grand List Value","Number",1185610
"Barkhamsted","0900502760",2014,2014,2016,"Rocktree LLC",6,"Grand List Value","Number",954040
"Barkhamsted","0900502760",2014,2014,2016,"Property Owner",7,"Grand List Value","Number",887070
"Barkhamsted","0900502760",2014,2014,2016,"Cesana Fred A. Trustee",8,"Grand List Value","Number",869760
"Barkhamsted","0900502760",2014,2014,2016,"Boulder Village Properties LLC",9,"Grand List Value","Number",805200
"Barkhamsted","0900502760",2014,2014,2016,"VKRE Foxridge Limited Partnership",10,"Grand List Value","Number",787810
"Barkhamsted","0900502760",2014,2014,2016,"The Metropolitan District",1,"Percent of Net Grand List","Percent",9.56
"Barkhamsted","0900502760",2014,2014,2016,"Connecticut Light & Power",2,"Percent of Net Grand List","Percent",1.52
"Barkhamsted","0900502760",2014,2014,2016,"Mallory Brook Development",3,"Percent of Net Grand List","Percent",1.08
"Barkhamsted","0900502760",2014,2014,2016,"Sterling Engineering Corporation",4,"Percent of Net Grand List","Percent",0.45
"Barkhamsted","0900502760",2014,2014,2016,"Retional Refuse Disp Distr #1",5,"Percent of Net Grand List","Percent",0.35
"Barkhamsted","0900502760",2014,2014,2016,"Rocktree LLC",6,"Percent of Net Grand List","Percent",0.28
"Barkhamsted","0900502760",2014,2014,2016,"Property Owner",7,"Percent of Net Grand List","Percent",0.26
"Barkhamsted","0900502760",2014,2014,2016,"Cesana Fred A. Trustee",8,"Percent of Net Grand List","Percent",0.25
"Barkhamsted","0900502760",2014,2014,2016,"Boulder Village Properties LLC",9,"Percent of Net Grand List","Percent",0.24
"Barkhamsted","0900502760",2014,2014,2016,"VKRE Foxridge Limited Partnership",10,"Percent of Net Grand List","Percent",0.23
"Barkhamsted","0900502760",2014,2014,2016,"The Metropolitan District",1,"Percent of Top 10 Total Grand List","Percent",67.26
"Barkhamsted","0900502760",2014,2014,2016,"Connecticut Light & Power",2,"Percent of Top 10 Total Grand List","Percent",10.66
"Barkhamsted","0900502760",2014,2014,2016,"Mallory Brook Development",3,"Percent of Top 10 Total Grand List","Percent",7.59
"Barkhamsted","0900502760",2014,2014,2016,"Sterling Engineering Corporation",4,"Percent of Top 10 Total Grand List","Percent",3.19
"Barkhamsted","0900502760",2014,2014,2016,"Retional Refuse Disp Distr #1",5,"Percent of Top 10 Total Grand List","Percent",2.44
"Barkhamsted","0900502760",2014,2014,2016,"Rocktree LLC",6,"Percent of Top 10 Total Grand List","Percent",1.96
"Barkhamsted","0900502760",2014,2014,2016,"Property Owner",7,"Percent of Top 10 Total Grand List","Percent",1.83
"Barkhamsted","0900502760",2014,2014,2016,"Cesana Fred A. Trustee",8,"Percent of Top 10 Total Grand List","Percent",1.79
"Barkhamsted","0900502760",2014,2014,2016,"Boulder Village Properties LLC",9,"Percent of Top 10 Total Grand List","Percent",1.66
"Barkhamsted","0900502760",2014,2014,2016,"VKRE Foxridge Limited Partnership",10,"Percent of Top 10 Total Grand List","Percent",1.62
"Barkhamsted","0900502760",2014,2014,2016,"The Metropolitan District",1,"Percent of Total Grand List","Percent",9.39
"Barkhamsted","0900502760",2014,2014,2016,"Connecticut Light & Power",2,"Percent of Total Grand List","Percent",1.49
"Barkhamsted","0900502760",2014,2014,2016,"Mallory Brook Development",3,"Percent of Total Grand List","Percent",1.06
